,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU,Win Percent
0,2023-11-20,Northeastern,66.87418678100416,Kennesaw St.,67.7265601110025,1,-0.8523733299983434,134.60074689200667,0.605
0,2023-11-20,San Diego,71.85007208316568,Navy,66.12801452730936,0,5.722057555856324,137.97808661047503,0.027
0,2023-11-20,Montana St.,74.64910046661058,Green Bay,65.6176489387349,0,9.031451527875674,140.26674940534548,0.003
0,2023-11-20,Stony Brook,68.29768021602833,Rider,68.75174031005227,0,-0.4540600940239443,137.0494205260806,0.557
0,2023-11-20,Southeast Missouri St.,76.21038330772203,Central Arkansas,72.34677451553144,0,3.8636087921905897,148.55715782325348,0.153
0,2023-11-20,Bucknell,70.89639060476628,Southern Indiana,69.7508092936973,0,1.1455813110689803,140.64719989846358,0.347
0,2023-11-20,Houston Christian,71.34155848654538,UTSA,80.07582006917886,0,-8.73426158263348,151.41737855572424,0.992
0,2023-11-20,UNLV,74.20281917738158,Florida St.,73.13717638747471,1,1.0656427899068746,147.33999556485628,0.362
0,2023-11-20,UTEP,68.95053084619576,California,69.80963590731197,1,-0.8591050611162103,138.76016675350775,0.629
0,2023-11-20,Florida A&M,58.15616408645785,Oregon,78.22953504541944,0,-20.07337095896159,136.3856991318773,1.0
0,2023-11-20,Iona,76.2531953344771,High Point,69.76096691191916,1,6.492228422557943,146.01416224639627,0.012
0,2023-11-20,Saint Peter's,63.55953178508626,UMass Lowell,68.05932000081107,0,-4.499788215724813,131.61885178589733,0.942
0,2023-11-20,Wright St.,76.02059603883627,Louisiana,73.02937530365621,1,2.9912207351800646,149.04997134249248,0.17
0,2023-11-20,Campbell,68.2978139740846,North Carolina Central,66.46586782285783,0,1.8319461512267736,134.76368179694242,0.312
0,2023-11-20,Siena,69.91615250445008,Central Michigan,67.45160333861608,1,2.4645491658340006,137.36775584306616,0.234
0,2023-11-20,Long Beach St.,74.61994212128972,Illinois St.,70.59640313944814,1,4.0235389818415825,145.21634526073785,0.073
0,2023-11-20,Hofstra,76.7835546950627,Buffalo,69.86948550559985,1,6.91406918946285,146.65304020066256,0.002
0,2023-11-20,Richmond,65.06529416695962,Colorado,77.00319601469025,1,-11.937901847730629,142.06849018164985,1.0
0,2023-11-20,Sacramento St.,66.01047629261738,Cal St. Bakersfield,63.10759625785418,1,2.9028800347632,129.11807255047157,0.161
0,2023-11-20,The Citadel,68.66092358381921,Idaho St.,68.46611376548154,1,0.1948098183376743,137.12703734930074,0.459
0,2023-11-20,UNC Wilmington,70.63910539498498,Murray St.,72.4693754599116,1,-1.8302700649266228,143.10848085489658,0.738
0,2023-11-21,Middle Tennessee,71.7860679560313,UAB,73.11850535000653,0,-1.3324373939752263,144.90457330603783,0.656
0,2023-11-21,Sacred Heart,72.59740191614324,Binghamton,68.56701844216924,0,4.030383473973998,141.1644203583125,0.077
0,2023-11-21,Green Bay,64.932544511744,UC Riverside,73.52413146289234,1,-8.591586951148344,138.45667597463634,1.0
0,2023-11-21,New Mexico,83.24790203242904,Toledo,72.86769512057238,1,10.38020691185666,156.11559715300143,0.0
